eco_code,name
E66,"King's Indian, Fianchetto, Yugoslav Panno (E66)"
D68,"Queen's Gambit Declined, Orthodox Defense, Classical (D68)"
E86,"King's Indian, Samisch, Orthodox, 7.Nge2 c6 (E86)"
E12,Queen's Indian (E12)
A10,English (A10)
A18,"English, Mikenas-Carls (A18)"
A31,"English, Symmetrical, Benoni Formation (A31)"
E48,"Nimzo-Indian, 4.e3 O-O 5.Bd3 d5 (E48)"
C08,"French, Tarrasch, Open, 4.ed ed (C08)"
B95,"Sicilian, Najdorf, 6...e6 (B95)"
E92,King's Indian (E92)
B79,"Sicilian, Dragon, Yugoslav Attack, 12.h4 (B79)"
D05,Queen's Pawn Game (D05)
D04,Queen's Pawn Game (D04)
A38,"English, Symmetrical (A38)"
D74,"Neo-Grunfeld, 6.cd Nxd5, 7.O-O (D74)"
C56,Two Knights (C56)
B46,"Sicilian, Taimanov Variation (B46)"
D50,Queen's Gambit Declined (D50)
D52,Queen's Gambit Declined (D52)
B44,Sicilian (B44)
C10,French (C10)
A21,English (A21)
D78,"Neo-Grunfeld, 6.O-O c6 (D78)"
E06,"Catalan, Closed, 5.Nf3 (E06)"
A20,English (A20)
E87,"King's Indian, Samisch, Orthodox (E87)"
B62,"Sicilian, Richter-Rauzer (B62)"
A26,English (A26)
A53,Old Indian (A53)
A67,"Benoni, Taimanov Variation (A67)"
E76,"King's Indian, Four Pawns Attack (E76)"
E78,"King's Indian, Four Pawns Attack, with Be2 and Nf3 (E78)"
A68,"Benoni, Four Pawns Attack (A68)"
D38,"Queen's Gambit Declined, Ragozin Variation (D38)"
D63,"Queen's Gambit Declined, Orthodox Defense (D63)"
E72,King's Indian (E72)
A25,English (A25)
A39,"English, Symmetrical, Main line with d4 (A39)"
A36,English (A36)
A93,"Dutch, Stonewall, Botvinnik Variation (A93)"
E69,"King's Indian, Fianchetto, Classical Main line (E69)"
C45,Scotch Game (C45)
B14,"Caro-Kann, Panov-Botvinnik Attack (B14)"
B55,"Sicilian, Prins Variation, Venice Attack (B55)"
B41,"Sicilian, Kan (B41)"
D13,"Queen's Gambit Declined Slav, Exchange Variation (D13)"
E51,"Nimzo-Indian, 4.e3 (E51)"
E56,"Nimzo-Indian, 4.e3, Main line with 7...Nc6 (E56)"
C87,Ruy Lopez (C87)
C48,Four Knights (C48)
C55,Two Knights Defense (C55)
B09,"Pirc, Austrian Attack (B09)"
D28,"Queen's Gambit Accepted, Classical (D28)"
B24,"Sicilian, Closed (B24)"
B52,"Sicilian, Canal-Sokolsky (Rossolimo) Attack (B52)"
B81,"Sicilian, Scheveningen, Keres Attack (B81)"
D22,Queen's Gambit Accepted (D22)
D29,"Queen's Gambit Accepted, Classical (D29)"
A65,"Benoni, 6.e4 (A65)"
E25,"Nimzo-Indian, Samisch (E25)"
E41,Nimzo-Indian (E41)
A35,"English, Symmetrical (A35)"
E62,"King's Indian, Fianchetto (E62)"
D75,"Neo-Grunfeld, 6.cd Nxd5, 7.O-O c5, 8.dxc5 (D75)"
E80,"King's Indian, Samisch Variation (E80)"
E88,"King's Indian, Samisch, Orthodox, 7.d5 c6 (E88)"
E93,"King's Indian, Petrosian System (E93)"
D30,Queen's Gambit Declined (D30)
A72,"Benoni, Classical without 9.O-O (A72)"
A33,"English, Symmetrical (A33)"
C17,"French, Winawer, Advance (C17)"
B34,"Sicilian, Accelerated Fianchetto (B34)"
B96,"Sicilian, Najdorf (B96)"
B45,"Sicilian, Taimanov (B45)"
B89,Sicilian (B89)
B32,Sicilian (B32)
E67,"King's Indian, Fianchetto (E67)"
A43,Old Benoni (A43)
C15,"French, Winawer (C15)"
E82,"King's Indian, Samisch, double Fianchetto Variation (E82)"
E32,"Nimzo-Indian, Classical (E32)"
A00,Uncommon Opening (A00)
C51,Evans Gambit (C51)
C95,"Ruy Lopez, Closed, Breyer (C95)"
C62,"Ruy Lopez, Old Steinitz Defense (C62)"
A58,Benko Gambit (A58)
D53,Queen's Gambit Declined (D53)
A08,King's Indian Attack (A08)
C46,Three Knights (C46)
C94,"Ruy Lopez, Closed, Breyer Defense (C94)"
E59,"Nimzo-Indian, 4.e3, Main line (E59)"
B36,"Sicilian, Accelerated Fianchetto (B36)"
B20,Sicilian (B20)
E83,"King's Indian, Samisch (E83)"
